full_name,time_arrival,number,time_departure,cost
Robert Rowe,2024-07-01,904,2024-08-14,50863
Nancy Brown,2024-10-20,90,2025-06-18,44059
Christopher Robinson,2024-09-03,865,2025-08-03,64056
David Jackson,2024-10-15,1789,2025-11-08,85712
Heather Mason,2024-10-05,1295,2025-05-13,44253
David Garcia,2025-01-06,531,2025-12-28,64666
Stephanie Hartman,2024-12-24,1599,2026-05-05,77873
William Mckinney,2024-05-23,833,2024-10-29,51565
Courtney Crawford,2024-12-20,1774,2025-03-20,32896
Tracy Anderson,2024-06-06,1497,2025-04-06,8183
Jennifer Rogers,2024-10-18,1384,2025-09-29,48753
Karen Walker,2025-05-08,1379,2025-08-22,72230
Crystal James,2025-04-30,150,2025-09-19,36917
Christopher Wyatt,2024-09-03,689,2024-09-07,97568
Melody Fuentes,2025-02-12,1596,2025-03-12,37673
Eric Khan,2025-02-12,406,2026-04-06,9664
David Mcdaniel,2024-12-04,1766,2026-04-16,93758
David Scott,2024-06-20,2047,2025-05-04,62765
Kristine Callahan,2024-05-24,784,2025-05-02,14454
Nicole Solis,2024-11-16,919,2025-11-28,81642
