full_name,time_arrival,number,time_departure,cost
John Quinn,2025-01-29,1398,2025-03-26,52717
Samantha Barr,2024-10-23,381,2025-06-08,61024
Kevin Watson,2024-06-24,518,2025-10-04,90041
Rodney Bennett,2024-07-17,58,2024-11-27,16707
Sean Best,2024-05-02,2222,2025-05-01,91586
William Dixon,2025-03-02,518,2025-06-02,44682
Brian Gonzalez,2025-06-03,1239,2026-02-15,50082
Evelyn Lowe,2024-08-29,2011,2024-12-29,16728
Benjamin Taylor,2024-12-20,853,2025-09-10,47260
Bonnie Wong,2024-12-08,21,2025-10-01,13176
Jennifer Anderson,2024-10-22,1255,2025-05-27,58566
Christopher Johnson,2024-10-10,1382,2025-03-24,46233
Kevin Orozco,2024-10-14,172,2025-09-20,36061
Lisa Gordon,2024-05-08,541,2025-03-06,63512
Mark Reid,2024-11-20,70,2025-01-09,13747
Jessica Wiley,2025-02-06,529,2026-03-16,36162
Andrew Martin,2024-10-08,185,2025-10-01,91833
Jeremy Cordova,2024-12-09,2162,2025-07-06,59767
Cynthia Tapia,2024-07-14,1882,2024-08-06,53789
Kenneth Elliott,2025-02-14,770,2025-04-28,93682
Jody Freeman,2024-06-23,581,2025-05-15,59126
Michelle Ayala,2024-06-19,1552,2025-10-27,96068
Steve Sims,2024-10-07,2087,2024-10-08,74497
Christopher Morgan,2024-12-07,406,2025-05-10,79543
Teresa Cox,2024-10-30,1126,2025-06-04,64145
Lance Schultz,2025-02-18,1154,2025-03-23,85923
Maria Brooks,2025-01-24,1150,2025-05-24,81497
Sean Davis,2024-07-19,1960,2025-04-23,71973
Lauren Stark,2025-01-27,1282,2025-02-14,42727
Andrew Robinson,2025-02-22,1208,2026-06-11,2422
Lauren Wallace,2024-09-04,1728,2025-07-01,20382
Susan Choi,2025-05-12,1989,2025-09-16,63047
Douglas Martin,2024-07-29,2145,2025-06-11,72786
Jean Davenport,2024-10-23,1819,2025-10-01,43036
Denise Rodriguez,2025-03-11,1689,2025-03-14,85386
Erin Roth MD,2024-05-16,1637,2024-07-18,68656
Nicole Hatfield,2024-11-23,2122,2025-11-12,71994
Penny Haney,2024-09-30,368,2025-12-16,10110
Carla Ponce,2024-08-28,1262,2025-06-01,89487
James Marshall,2024-08-09,796,2024-09-26,22341
Traci Medina,2025-04-28,2206,2026-04-06,56610
Sandra Peterson,2024-08-17,761,2024-09-13,65953
Beth Thompson,2025-05-02,2024,2026-01-24,17293
Stephen Fox,2025-02-24,756,2025-05-09,33530
Angela Sanchez,2024-06-07,1847,2024-09-23,24226
Pamela Tran,2025-05-19,629,2026-09-04,63786
Candace Nichols,2024-11-10,76,2026-02-05,16849
Madeline Butler,2024-12-12,358,2025-08-03,61079
George Jones,2024-12-05,326,2025-11-03,67848
Rodney Young,2024-06-14,1939,2025-07-09,53880
Mrs. Shelly Craig,2024-06-13,1580,2025-02-19,34156
Karen Oneal,2025-03-11,872,2025-08-30,59027
Virginia Martin,2025-03-09,1135,2026-02-16,10300
Richard Wells,2025-03-14,1306,2025-12-16,32915
Zachary Rodriguez,2025-03-19,104,2026-04-22,36255
Steven Sherman,2025-05-17,1514,2026-06-10,24321
Juan Robinson,2025-05-11,803,2025-06-30,61922
Jennifer Marshall,2025-02-04,779,2025-12-06,7936
Karen Patterson,2024-05-05,2399,2025-08-20,70545
Jacob Beck,2024-12-14,1464,2025-03-21,68268
Kaitlyn Howard,2025-03-19,2120,2026-02-14,99693
Matthew Gates,2025-05-21,124,2025-07-29,96007
Kayla Collins,2024-12-02,755,2025-06-20,72251
Laura Wang,2024-10-28,760,2025-04-12,76155
Rodney English,2024-10-06,1233,2024-11-29,9234
Brian Shannon,2024-10-05,660,2025-01-20,18629
Kimberly Morris,2025-04-14,2169,2026-07-27,37023
Brittany Lewis,2025-04-22,1019,2026-09-01,82009
Darlene Barrera,2024-09-03,1718,2025-06-05,3206
Leslie Palmer,2025-04-12,678,2026-06-29,96228
Victoria Adams,2025-02-20,2018,2025-10-26,42960
Diane Turner,2024-12-27,1111,2026-01-13,48223
Scott Kennedy,2025-02-08,845,2026-03-01,59061
Jennifer Mcdaniel,2025-06-03,1804,2026-08-02,65965
Julie Parker DDS,2025-01-12,1317,2025-07-08,75387
Jessica White,2025-05-19,1228,2025-09-17,67862
Rebecca Cabrera,2025-03-08,811,2025-12-10,3156
Larry Cardenas,2025-01-02,2116,2026-04-13,74329
Chelsea Phillips,2024-08-01,2296,2025-02-03,93400
Peter Elliott,2024-06-22,492,2025-04-29,24675
David Smith,2025-04-12,307,2026-07-23,18058
Leslie Fields,2024-05-28,1221,2025-01-12,22375
Toni Bishop,2025-04-02,460,2025-07-20,70651
Kathryn Bennett,2024-07-15,2226,2025-09-30,63579
John Baker,2025-02-25,1985,2025-06-24,91476
Gregory Hensley,2024-08-09,825,2024-10-07,18718
Nicholas Combs,2024-12-31,2204,2025-02-21,47322
Stacy Mitchell,2024-07-26,1727,2025-10-16,2083
Brittany Berry,2024-09-07,2015,2025-09-20,29480
Kimberly Brown,2025-05-25,1400,2025-08-16,34362
Stephanie Tucker,2025-04-26,2254,2026-02-20,29064
Tyler Martinez,2024-09-07,1134,2025-04-12,66845
Patricia Weber,2025-01-19,1500,2025-11-12,2338
Jill Flores,2024-09-13,343,2025-02-26,33810
Veronica Porter,2024-12-16,615,2025-10-05,84840
Jamie Johnson,2025-06-04,700,2025-06-07,7597
Andrew Mills,2024-12-14,1999,2025-08-21,76032
Brenda Vasquez,2024-09-09,1930,2025-03-01,14283
Kenneth Martinez,2024-09-21,1903,2025-06-30,31716
Jason Smith,2024-10-27,1540,2025-05-21,68765
Angela Beck,2024-09-01,1517,2025-10-19,80271
Logan Lane,2024-08-12,1219,2025-10-17,38632
Dawn Bush,2025-03-23,2144,2025-11-13,60982
Kyle Mendez,2024-08-24,2100,2025-07-14,61112
Mason Thomas,2024-11-24,1283,2025-04-21,78209
Tiffany Garcia,2024-10-13,79,2025-09-26,39548
Jill Wilson,2024-10-02,408,2024-11-28,41350
Alyssa Williams,2024-07-31,1436,2024-08-02,71011
Ross Chambers,2024-08-12,534,2024-12-03,48116
Donald Larsen MD,2025-02-18,202,2026-06-14,89342
Whitney Mann,2024-08-04,1781,2025-04-09,29216
Michelle Nguyen,2024-11-29,1142,2025-07-22,84680
Ethan Thompson,2025-03-06,2059,2026-02-06,71891
David Ruiz,2024-10-24,100,2025-01-30,73316
Jason Whitaker,2024-12-26,1134,2025-05-14,53279
Alyssa Johnson,2024-07-30,87,2024-10-27,48322
Eugene Massey,2024-09-14,328,2025-03-19,92258
Logan Nunez,2025-04-08,2202,2025-07-24,92438
Carla Roberson,2025-04-10,2386,2025-12-25,6102
Earl Hall PhD,2024-11-23,2260,2025-01-04,78199
Thomas Santana,2024-10-28,524,2024-11-01,52297
Brandon Shah,2025-05-16,347,2025-06-01,37556
Kristen Acosta,2024-09-13,1949,2025-04-05,68152
Paul Payne,2024-07-04,997,2024-07-31,23192
Rebecca Green,2025-05-20,24,2026-07-31,17331
Lindsey Miles,2025-05-30,296,2025-12-01,47177
Phillip Cox,2024-07-09,368,2025-07-02,81187
Whitney Franklin,2025-02-16,1773,2026-04-18,66501
David Ramirez,2024-09-01,1445,2024-10-18,87573
Raymond Munoz,2024-05-21,1759,2025-10-03,98017
Willie Flynn,2024-10-24,1472,2024-12-18,46092
Ryan Cruz,2025-04-17,1938,2025-07-22,80767
Joshua Robinson II,2024-12-20,1455,2025-01-06,60402
Dr. Dawn Lee,2024-07-10,2210,2025-02-02,5229
Jeremy Huff,2025-01-13,1159,2025-11-14,99432
Adam Allen,2025-04-19,1637,2026-03-23,27447
Brian Elliott,2024-06-23,2217,2024-10-06,48891
Eric Jimenez,2025-05-18,523,2025-07-13,3221
Melissa Faulkner,2024-07-31,554,2024-08-24,42386
Lori Robinson,2024-05-12,8,2024-06-14,78457
Heather Torres,2025-04-15,2309,2026-01-09,9139
Mario Armstrong,2024-07-21,936,2024-11-30,84940
Jill Pratt,2024-06-05,1749,2025-05-09,96656
Paul Stout,2025-01-24,105,2026-03-08,5685
Nicholas Potter,2025-03-30,2290,2025-06-27,80476
Brooke Riddle,2024-12-15,2349,2026-04-13,81312
Brenda Beard,2025-06-03,513,2026-05-04,10108
Mrs. Elizabeth Martin MD,2024-11-14,2109,2025-07-11,57091
Elizabeth Oneill,2024-11-06,874,2025-09-19,42829
Jimmy Mccormick,2024-10-12,2268,2025-01-31,26317
Joseph Campbell,2024-08-04,1464,2025-05-15,70851
Yolanda Cummings DVM,2024-12-25,427,2025-06-28,79005
Scott Powers,2025-04-14,1518,2025-05-24,59427
Mrs. Jessica Chavez,2024-06-28,198,2025-09-03,8866
Robert Lam,2024-05-03,1199,2024-08-03,4029
Chelsea Duncan,2025-03-26,864,2025-12-18,93806
David Ford,2025-05-26,953,2025-10-17,47410
Amanda Lopez,2024-12-31,344,2025-11-22,74666
Brandi Reyes,2024-10-21,1397,2025-02-10,69892
Tina Collins,2024-12-07,718,2025-11-18,16859
Vicki Payne,2024-07-28,215,2024-10-25,51276
Vicki Rodriguez,2024-12-07,197,2025-01-18,11050
George Garcia,2025-01-29,1046,2025-10-29,67413
Alexander Lee,2024-11-06,716,2024-11-09,67309
John Young,2024-12-18,1125,2026-04-25,35692
Crystal Reeves,2024-09-10,974,2024-12-04,56827
Wendy Butler,2024-08-14,2310,2025-11-20,30147
Edward Stevens,2024-11-26,262,2025-03-25,42293
Edwin Jones,2024-09-28,1273,2025-05-08,73178
Chad Matthews,2025-05-27,516,2026-07-03,18434
John Greene,2025-02-16,625,2025-03-16,84692
Katrina Johnson,2025-02-09,1763,2025-12-11,14530
Philip Gallagher,2025-02-04,2154,2025-08-31,60273
Heather Thomas,2024-12-09,181,2025-12-30,80955
Micheal Jacobs,2024-06-12,2228,2025-02-13,42537
Jennifer Hughes,2025-02-02,860,2025-10-16,83081
Amber Hughes,2024-05-05,56,2024-08-27,44507
Anthony Flores,2024-05-06,93,2024-11-24,52737
Christopher Burton,2024-08-01,434,2025-08-11,57402
Steven Martinez,2024-10-08,960,2025-03-02,39263
Bryan Hall,2024-09-13,2257,2025-06-07,62634
John Lopez,2024-08-18,1772,2025-08-25,58330
Charles Carlson,2025-02-17,2301,2025-12-14,64190
Amanda Thompson,2025-02-04,1897,2026-01-03,35178
Joseph Stokes,2024-08-08,755,2025-01-20,30457
Lisa Erickson,2024-05-04,1121,2024-11-22,30369
Mr. Richard Jackson Jr.,2025-01-08,520,2025-10-03,66658
Jasmine Miller,2025-02-22,332,2025-09-24,64158
Stephanie Gonzalez,2024-11-07,2098,2025-12-08,86998
Lisa Petty,2025-01-24,2034,2025-05-24,4046
Garrett Taylor,2024-12-07,937,2025-10-02,24514
Brenda Harris,2024-07-04,2354,2024-10-27,43303
Gabriela Ingram,2024-12-24,411,2026-02-01,11109
Virginia Figueroa,2024-06-16,991,2024-07-20,39945
Timothy Roy,2024-05-16,501,2024-07-03,77991
Chad Carter,2025-04-25,1082,2025-12-28,86445
William Lewis,2024-11-08,2162,2025-01-04,68089
Richard Jackson,2024-09-05,143,2025-07-31,62688
Tammy Bell,2024-07-03,2055,2025-04-04,72046
Charles Butler,2025-04-28,2343,2026-05-07,3533
Justin Evans,2024-10-15,1190,2025-08-06,21761
Stephanie Jenkins,2024-12-20,2323,2025-07-20,85618
Vincent Jackson,2025-05-29,2092,2025-08-20,20267
April Holder,2025-05-13,1044,2025-12-07,73618
Alexandra Sanchez,2024-06-15,232,2024-09-02,39930
Patrick Mccarty,2024-05-09,2364,2025-06-03,20648
Brian Roberts,2025-06-05,1970,2025-08-18,76528
Allison Peterson,2024-12-09,1074,2025-02-06,40887
Justin Wilson,2024-08-15,2194,2025-07-20,29334
Donald Moore,2025-04-30,516,2025-11-20,39526
Benjamin Lawson,2024-11-19,668,2025-10-21,7911
Steven Munoz,2025-04-08,1263,2026-04-05,99343
Aaron Rowe,2024-10-05,336,2025-01-27,54637
Cody Deleon,2024-10-07,1378,2026-01-09,87014
Nicholas Pearson,2024-06-23,1419,2025-03-07,6672
Collin Ellis,2025-05-20,1073,2025-12-03,96938
Erin Lee,2025-02-11,2150,2025-07-15,43691
Melissa Flores,2025-02-09,351,2025-09-29,84805
Mark Davis,2024-07-07,734,2025-07-04,74464
Chad Brown,2024-11-10,737,2026-03-16,20185
Jennifer Rangel,2024-07-01,1751,2025-02-04,34680
Ashley Berry,2024-07-23,817,2025-11-28,54403
Michael Hamilton,2024-06-07,1446,2025-08-22,65751
Kelly Watson,2024-06-15,1957,2024-08-24,8713
Katherine Sellers,2024-08-18,2054,2025-09-01,3314
Mrs. Kristy Morris,2024-06-13,1913,2025-10-10,11910
Peter Gomez,2025-03-16,2168,2026-03-13,58768
Tracy Harvey,2024-08-26,2217,2025-12-18,42136
Debbie Allen,2025-04-21,918,2025-06-08,40553
Bethany Hughes,2024-09-14,744,2024-12-17,21080
Glenn Vaughn,2024-10-21,1114,2025-03-27,66301
Steven Boone,2025-06-05,918,2026-04-20,83297
Johnny White,2025-03-07,882,2026-04-20,27944
David Byrd,2025-04-22,152,2025-12-20,13319
Robert Brady,2024-07-26,1765,2025-05-25,48385
Dawn Sampson,2024-07-22,889,2024-10-08,3997
Misty Martin,2025-04-18,1008,2025-09-05,28817
John Gutierrez,2024-06-12,1388,2025-09-09,70666
Donna Ryan,2025-05-29,550,2025-08-02,31937
Rebecca Lopez,2024-11-18,1002,2026-02-23,3558
Michelle Gonzales,2024-10-28,1113,2024-12-12,83339
Amanda Holmes,2024-05-08,2206,2025-09-10,48295
Karen Richards,2024-08-07,302,2025-05-15,3978
Howard Franklin,2024-12-24,2177,2025-07-08,74429
Jennifer Castillo,2025-04-15,2280,2025-10-17,71289
Zachary Romero,2025-02-01,1721,2025-05-19,16202
Lisa Reyes DVM,2025-03-13,696,2025-06-24,2980
Kevin Taylor,2025-02-20,487,2025-03-13,44481
Troy Wilcox,2025-02-12,1982,2025-10-25,25143
Frederick Jones,2025-05-01,1739,2025-05-19,84865
John Thomas,2025-05-18,2034,2026-02-20,4220
Michael Washington,2025-01-31,434,2026-01-27,34786
Stephen Johnson,2024-09-01,199,2025-06-13,67248
Gordon Wilson,2025-05-19,106,2026-02-10,51559
Vanessa Lucero,2025-03-07,1900,2025-11-30,4547
Mark Wang,2024-12-02,848,2025-05-03,45999
Elizabeth Johnson,2024-07-18,1344,2025-03-18,22567
Jeffrey Jones,2024-05-16,1959,2025-01-26,14072
Kelli Clark,2024-06-05,592,2025-08-06,13276
Rachel Smith,2024-07-14,1603,2024-12-20,10475
Sandra Scott,2025-02-01,1915,2025-02-06,21341
Mitchell Torres,2024-07-02,716,2024-12-20,74362
Gloria Bullock,2025-04-05,2212,2026-04-25,32173
Sonya Adams,2024-05-27,364,2025-03-15,38336
Steve Maxwell,2024-12-04,1104,2025-08-05,78922
Erika Rogers,2024-12-08,1965,2025-04-16,22248
Jason Vazquez,2024-06-11,1903,2025-01-07,98385
Elizabeth Barnes,2025-03-21,1818,2025-08-23,81711
Matthew Kennedy,2025-05-16,2326,2025-09-08,54338
Victoria Wright,2024-07-24,2356,2025-06-22,20043
Brian Ellis,2025-05-22,1795,2026-01-09,54094
Angela Ewing,2025-01-23,766,2025-11-12,49058
Donna Barber,2025-01-23,1544,2025-04-30,71551
Dana Goodman,2024-10-19,1201,2025-11-30,87860
Ashlee Hayes,2025-02-19,1999,2025-04-25,47562
Nicholas Watson,2024-05-23,639,2025-07-15,66403
Erica Stevens,2024-10-10,1695,2024-10-11,91329
Jeremiah Williams,2024-10-25,1806,2025-02-23,51119
Russell Brown,2024-05-24,2130,2025-01-10,48021
Charlotte Gilbert,2024-08-29,163,2024-10-04,87844
Mary Kennedy,2024-08-19,1680,2024-12-30,41951
Nicole Hinton,2024-11-05,1856,2026-01-25,75114
Richard Bond,2025-02-28,2198,2025-12-02,13551
Maria Francis,2025-03-21,2261,2026-01-13,79915
Melissa Williams,2025-05-09,764,2025-12-13,89398
Lee Butler,2025-05-06,964,2025-11-28,61004
Troy Lam,2025-03-28,221,2025-12-28,7270
Mary Lewis,2024-12-04,122,2025-12-24,9517
Scott Holmes,2024-09-07,2278,2025-04-22,85432
Amy Adkins,2024-08-23,29,2024-10-29,25425
Ashley Harrison,2025-03-21,1497,2026-03-26,72222
Adam Daniels,2024-10-12,1104,2025-06-17,74015
Deborah Torres,2025-02-26,1481,2025-05-25,29425
Deborah Matthews,2024-05-25,770,2025-09-24,86552
Christina Fox,2024-09-08,307,2025-12-25,67994
Mark Williams,2024-12-16,327,2025-03-08,67154
Gregory Preston,2025-01-04,467,2025-02-14,80180
Vincent Reid,2025-04-23,2264,2025-11-28,6369
Marie Martinez,2024-12-16,737,2025-01-10,17984
Timothy Harvey,2024-11-29,900,2025-08-05,43784
Elizabeth Dean,2025-01-07,1648,2025-11-21,58096
David Barker,2024-12-08,2020,2025-03-21,30746
Lisa Jones,2024-06-20,124,2024-08-06,73744
Lawrence Williams,2025-03-25,1502,2026-04-25,7604
Steven Jacobs,2024-08-19,55,2024-09-20,83712
Catherine Johnston,2024-11-29,2205,2025-03-15,1767
Shaun Martinez,2025-05-04,503,2026-08-30,88214
Lori Mitchell,2024-10-08,576,2025-06-10,62156
Sarah Gray,2025-02-06,2062,2025-03-20,61045
Michelle Burns,2025-02-16,1498,2026-05-18,52569
Stacey Peck,2024-06-03,1773,2025-01-13,11028
Deborah Nguyen,2024-12-20,783,2025-05-13,79807
Angela Johnson,2024-11-16,1657,2025-08-27,25303
Melissa Clay,2025-04-24,1230,2026-07-22,1672
Kurt Thompson,2024-08-25,1572,2025-04-15,5519
Hannah Todd,2025-01-25,368,2025-03-08,12510
Donna Howard,2024-11-18,1720,2025-03-30,51355
Lisa Suarez,2024-11-07,1940,2025-10-16,53037
Tyler Meza Jr.,2024-10-11,2034,2025-03-28,64526
Kenneth Thompson,2024-12-14,2006,2025-05-08,31614
Marvin Brooks,2024-12-27,2043,2026-03-21,27223
Amber Cortez,2025-04-08,758,2025-04-27,96072
Christine Brooks,2025-03-13,1721,2026-01-24,76266
April Davis,2025-05-04,211,2025-12-20,36535
Krista Clay,2024-10-10,524,2025-06-06,44504
Shawn Chan,2025-05-07,333,2026-06-28,4949
Alexis Scott,2024-08-01,771,2025-08-08,93045
Matthew Delgado,2024-08-31,458,2025-09-05,42190
Timothy Cooper,2024-10-31,378,2025-11-06,56793
Sarah Morgan,2024-10-24,1998,2025-08-06,60048
Laura Walker,2024-10-07,1072,2024-12-12,10941
Kenneth Fernandez,2025-01-08,521,2025-05-13,44009
Tyler Mendez,2024-10-30,2116,2026-03-10,38148
Jamie Long,2024-05-27,646,2024-08-05,20942
David Miller,2024-07-05,2046,2024-08-18,24536
Rachel Curtis,2025-01-29,2020,2026-04-08,23331
Julie Jimenez,2024-06-25,1341,2025-09-17,96213
Gregory Miller DVM,2024-12-31,2168,2025-04-09,18194
Shari Page,2024-07-08,1084,2025-07-10,80246
Nancy Lewis,2024-10-27,138,2025-12-21,73153
Amanda Fisher,2025-05-27,439,2026-05-28,29053
Dr. Richard Lee,2024-08-06,107,2024-10-15,96869
Alejandro Skinner,2024-11-22,1017,2024-12-10,50031
Savannah Gonzalez,2025-04-19,150,2026-04-01,64854
Richard Chavez,2024-07-29,1575,2025-08-23,40637
Nicole Moore,2024-11-30,1709,2025-06-19,58056
Daniel Waters,2024-07-07,2045,2024-08-10,25444
Julie Lee,2024-11-16,1933,2025-12-15,64291
Jonathan Armstrong,2024-10-11,1749,2024-10-21,57689
Robin Lamb,2024-05-25,1679,2025-05-15,49847
Andrew Jones,2024-08-22,1407,2024-12-17,5225
Audrey Perez,2024-10-03,1964,2024-11-26,86427
Laura Ritter,2024-11-13,2142,2024-11-14,9931
Mario Kelley,2025-04-10,469,2025-04-24,14295
Richard Morrison,2024-12-30,1361,2026-01-31,3559
Luke Crawford,2024-06-20,2085,2025-07-22,70902
Cheryl Hunt,2024-05-02,1890,2025-07-23,46858
Justin Thompson,2024-12-25,1965,2025-08-19,83580
Carolyn Elliott,2024-12-11,315,2025-01-31,45729
Katelyn Jones MD,2025-04-03,1779,2025-09-11,26917
Brady Carter,2024-07-27,1729,2024-11-29,75873
Eric Baxter,2025-06-04,1895,2025-12-31,2625
Sabrina Hutchinson,2024-09-28,356,2025-02-18,50349
Shawn Lee,2024-12-19,700,2026-04-11,77692
Angela Levy,2024-09-13,514,2025-12-19,90957
Kevin Johnson II,2024-09-01,757,2025-11-15,44841
William Nichols,2025-04-06,65,2026-07-11,44801
Gregory Sanders,2025-05-03,1867,2026-05-26,19947
Lisa Davis,2025-02-10,1059,2025-12-24,32911
Anthony Nichols,2025-05-23,630,2025-11-12,3486
Hector Hill MD,2025-04-07,2293,2025-04-18,12837
Steven Porter,2025-05-16,416,2025-12-16,96929
Craig Avila,2024-10-04,2193,2025-01-28,29778
Gregory Gonzales,2024-06-24,2337,2025-07-11,35622
Garrett Adams,2025-05-16,2397,2026-07-26,92318
Ann Moss,2025-03-28,2130,2025-06-13,50354
Paul Valenzuela,2025-03-11,1582,2026-01-17,19939
Gail Johnson,2025-04-10,1042,2026-06-29,33699
Jessica Richardson,2025-05-04,1507,2025-09-23,78304
Rebecca Thompson,2024-09-12,615,2024-12-05,39775
Andre Patterson,2025-04-02,1805,2026-01-13,10095
Crystal Chapman,2025-03-18,1404,2025-12-07,77244
Melinda Stanton,2024-09-21,695,2025-10-03,57659
Elizabeth Mitchell,2025-01-12,80,2025-09-09,27044
Jennifer Long,2025-04-03,552,2026-05-30,61447
Andrew Lewis,2025-04-22,1486,2025-08-19,32793
Stephen Hayden,2024-09-05,1282,2025-05-05,8147
Nicholas Smith,2024-07-10,2237,2024-08-01,63403
Jo Robinson,2024-12-10,1350,2025-04-21,92082
Sean Parker,2025-05-03,299,2026-02-10,32198
Shannon Hughes,2024-07-28,2389,2025-09-13,48572
Leslie Ramos,2024-10-28,875,2025-12-31,34541
Brooke Wilson,2024-07-18,1131,2025-02-20,55719
Elizabeth Martinez,2024-08-22,353,2024-11-16,21016
Christy Le,2024-07-05,793,2025-05-03,77326
James Brown,2024-10-20,1960,2025-02-03,94429
Nichole Johnson,2025-05-18,1334,2026-05-25,91487
Ricardo Morris,2025-05-05,1001,2025-06-07,52530
Kathy Taylor,2024-06-30,1405,2024-12-30,13282
Michael Drake,2024-08-24,1373,2025-12-13,29982
Jennifer Peterson,2024-07-06,633,2025-04-21,26333
Craig Ballard,2024-05-14,962,2024-08-03,87967
Ashley Lewis,2024-11-29,1932,2025-05-15,52112
Erin Perez,2024-05-03,103,2025-06-20,27571
Jim Jones,2024-09-07,174,2024-09-18,15219
Brittany Wagner,2024-07-07,2293,2025-04-06,27669
Haley Paul,2025-01-25,1012,2025-02-03,13803
Bernard Davis,2025-05-04,2245,2026-01-02,68288
Frederick Miller,2024-05-10,1504,2024-12-29,45729
